Word,Definition,Pronunciation,Grammar,Example
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费",/kiːp/,"keep doing, keep up with, keep in mind, keep on","Keep practicing, and you will improve. 坚持练习，你就会进步。"
keeper,n. 监护人；饲养员；看守人；管理人,/ˈkiːpə(r)/,"zoo keeper, goal keeper, shop keeper, park keeper",The zoo keeper feeds the animals every morning. 动物园饲养员每天早上喂动物。
kettle,n. 壶； 釜；罐；鼓,/ˈketl/,"kettle of fish, put the kettle on, electric kettle, whistling kettle",She put the kettle on to make some tea. 她烧水泡茶。
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的",/kiː/,"key to, key point, key role, key in",Hard work is the key to success. 努力是成功的关键。
keyboard,"n. 键盘
vt. 键入；用键盘式排字机排字
vi. 用键盘进行操作；作键盘式排字机排字",/ˈkiːbɔːd/,"computer keyboard, keyboard skills, keyboard shortcut, on the keyboard",He types quickly on the computer keyboard. 他在电脑键盘上打字很快。
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲",/kɪk/,"kick off, kick out, kick the habit, free kick",The football match will kick off at 3 PM. 足球比赛将在下午3点开始。
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的",/kɪd/,"kid around, kid brother/sister, just kidding, school kid",Don't take it seriously; he was just kidding. 别当真，他只是在开玩笑。
kidnap,vt. 绑架；诱拐；拐骗,/ˈkɪdnæp/,"kidnap someone, attempt to kidnap, kidnap case, kidnap for ransom",The police rescued the child who was kidnapped. 警察救出了被绑架的孩子。
kill,"vt. 杀死；扼杀；使终止；抵消
vi. 杀死
n. 杀戮；屠杀
adj. 致命的；致死的",/kɪl/,"kill time, kill two birds with one stone, kill off, kill the pain",Reading a book can help kill time on a long journey. 读书可以帮助在长途旅行中消磨时间。
kilogram,n. 公斤；千克,/ˈkɪləɡræm/,"per kilogram, kilogram weight, half a kilogram, kilogram of rice",This bag of apples weighs two kilograms. 这袋苹果重两公斤。
kilometre,n.  公里； 千米,/ˈkɪləmiːtə(r)/,"per kilometre, kilometre away, run a kilometre, square kilometre",The school is about five kilometres from my home. 学校离我家大约五公里。
kilometer,n.  公里； 千米（等于kilometre）,/ˈkɪləmiːtər/,"per kilometer, kilometer marker, kilometer per hour, travel kilometer",The speed limit is 60 kilometers per hour here. 这里的限速是每小时60公里。
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的",/kaɪnd/,"kind of, all kinds of, be kind to, in kind",She is always kind to her classmates. 她总是对同学很友善。
kindergarten,n. 幼儿园；幼稚园,/ˈkɪndəɡɑːtn/,"go to kindergarten, kindergarten teacher, kindergarten children, in kindergarten",My daughter started kindergarten last year. 我女儿去年开始上幼儿园。
kindly,"adv. 亲切地；温和地；仁慈地
adj. 亲切的；和蔼的；体贴的；爽快的",/ˈkaɪndli/,"kindly ask, kindly remind, treat kindly, speak kindly",He kindly offered to help me with my homework. 他亲切地提出要帮我做作业。
kindness,n. 仁慈；好意；友好的行为,/ˈkaɪndnəs/,"show kindness, act of kindness, out of kindness, kindness of heart",Her kindness made everyone feel welcome. 她的善意让每个人都感到受欢迎。
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的",/kɪŋ/,"king of, king and queen, king of the jungle, king's speech",The king ruled the kingdom with wisdom and justice. 国王以智慧和正义统治着王国。
kingdom,n. 王国；界；领域,/ˈkɪŋdəm/,"animal kingdom, kingdom of heaven, United Kingdom, kingdom come","The United Kingdom consists of England, Scotland, Wales, and Northern Ireland. 联合王国由英格兰、苏格兰、威尔士和北爱尔兰组成。"
kiss,"vt. 吻；（风等）轻拂
vi. 接吻；（风等）轻触
n. 吻；轻拂",/kɪs/,"kiss goodbye, kiss of death, kiss and tell, blow a kiss",She gave her mother a gentle kiss on the cheek before leaving. 她离开前在母亲脸颊上轻轻吻了一下。
kitchen,n. 厨房；炊具；炊事人员,/ˈkɪtʃɪn/,"kitchen sink, kitchen garden, kitchen utensils, kitchen cabinet",My mother is cooking dinner in the kitchen. 我妈妈正在厨房里做晚饭。
kite,"n. 风筝
vi. 使用空头支票；像风筝一样飞；轻快地移动
vt. 骗钱；涂改（支票）",/kaɪt/,"fly a kite, kite flying, high as a kite, kite festival",Children love to fly kites in the park on windy days. 孩子们喜欢在有风的日子在公园里放风筝。
kitten,"n. 小猫；小动物
vi. 产小猫",/ˈkɪtn/,"playful kitten, kitten heels, kittenish behavior, have kittens",The little girl adopted a cute kitten from the animal shelter. 小女孩从动物收容所领养了一只可爱的小猫。
knee,"n. 膝盖，膝
vt. 用膝盖碰",/niː/,"on one's knees, knee-deep, knee-jerk reaction, bring to one's knees",He fell and hurt his knee while playing basketball. 他打篮球时摔倒，伤到了膝盖。
kneel,vi. 跪下，跪,/niːl/,"kneel down, kneel before, kneel in prayer, kneel on",The knight knelt before the queen to show his respect. 骑士跪在女王面前以示尊敬。
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过",/naɪf/,"knife and fork, under the knife, knife edge, knife through",Please use a knife and fork to eat your steak. 请用刀叉吃你的牛排。
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声",/nɒk/,"knock on, knock out, knock down, knock at the door","I heard someone knock at the door, so I went to answer it. 我听到有人敲门，所以去开门了。"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信",/nəʊ/,"know about, know of, know by heart, know better",Do you know the answer to this question? 你知道这个问题的答案吗？
knowledge,n. 知识，学问；知道，认识；学科,/ˈnɒlɪdʒ/,"knowledge of, knowledge base, common knowledge, to the best of one's knowledge",Reading books can help us gain more knowledge. 读书可以帮助我们获得更多知识。
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的,/ˈnɒlɪdʒəbl/,"knowledgeable about, highly knowledgeable, knowledgeable person, knowledgeable in",Our teacher is very knowledgeable about world history. 我们的老师对世界历史非常了解。
lab,n. 实验室，研究室,/læb/,"science lab, lab coat, lab report, lab experiment",We conducted an interesting experiment in the chemistry lab. 我们在化学实验室进行了一个有趣的实验。
label,"vt. 标注；贴标签于
n. 标签；商标；签条",/ˈleɪbl/,"label as, label with, product label, warning label",Please label your luggage with your name and address. 请在行李上贴上你的姓名和地址标签。
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦",/ˈleɪbə(r)/,"labor force, labor union, manual labor, labor of love",Hard labor is essential for achieving success. 辛勤劳动对于取得成功至关重要。
labour,n. （英国）工党,/ˈleɪbə(r)/,"Labour Party, labour government, labour movement, labour leader",The Labour Party won the election in the United Kingdom. 工党在英国赢得了选举。
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足",/læk/,"lack of, for lack of, lack in, lack confidence",The plants died due to a lack of water. 这些植物因缺水而死亡。
lady,n. 女士，夫人；小姐；妻子,/ˈleɪdi/,"ladies and gentlemen, first lady, lady in waiting, lady of the house","Ladies and gentlemen, please welcome our guest speaker. 女士们先生们，请欢迎我们的特邀演讲者。"
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解",/leɪk/,"by the lake, lake shore, Great Lakes, lake district",We went fishing in the lake last weekend. 上周末我们去湖里钓鱼了。
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊",/læm/,"lamb of God, like a lamb, roast lamb, spring lamb",The farmer raised a lamb on his farm. 这位农民在他的农场里养了一只羔羊。
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮",/læmp/,"desk lamp, street lamp, turn on the lamp, oil lamp",She turned on the lamp to read a book. 她打开灯来读书。
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达",/lænd/,"land on, by land, native land, land a job",The plane will land at the airport in ten minutes. 飞机将在十分钟后降落在机场。
landlord,n. 房东，老板；地主,/ˈlændlɔːrd/,"landlord and tenant, local landlord, pay the landlord, landlord's property",The landlord collects rent every month. 房东每个月收租金。
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师",/ˈlændskeɪp/,"natural landscape, landscape painting, urban landscape, landscape design",The landscape of the countryside is very beautiful. 乡村的风景非常美丽。
lane,n. 小巷； 航线；车道；罚球区,/leɪn/,"bus lane, fast lane, narrow lane, lane marking",He drove in the right lane on the highway. 他在高速公路上行驶在右车道。
language,n. 语言；语言文字；表达能力,/ˈlæŋɡwɪdʒ/,"foreign language, body language, language barrier, official language",English is an important international language. 英语是一门重要的国际语言。
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大",/lɑːdʒ/,"large number, at large, by and large, large scale",There is a large park near my home. 我家附近有一个大公园。
laser,n. 激光,/ˈleɪzə(r)/,"laser beam, laser printer, laser surgery, laser pointer",The doctor used a laser to perform the surgery. 医生使用激光进行手术。
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点",/lɑːst/,"last night, at last, last but not least, last week",I saw him last week at the party. 我上周在派对上见到了他。
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期",/leɪt/,"late for, too late, in the late afternoon, late at night",He was late for school this morning. 他今天早上上学迟到了。
lately,adv. 近来，不久前,/ˈleɪtli/,"have been lately, just lately, until lately, lately seen",I have been very busy lately. 我最近一直很忙。
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的",/ˈleɪtə(r)/,"later on, see you later, sooner or later, later years",We can discuss this matter later. 我们可以稍后讨论这件事。
latest,"adv. 最迟地；最后地
n. 最新的事物
adj. 最新的，最近的；最迟的，最后的",/ˈleɪtɪst/,"the latest news, at the latest, latest fashion, latest technology",This is the latest model of the smartphone. 这是这款智能手机的最新型号。
latter,adj. 后者的；近来的；后面的；较后的,/ˈlætə(r)/,"the latter half, latter part, latter case, latter option",I prefer the latter option between the two. 在这两个选项中，我更喜欢后者。
laugh,"n. 笑；引人发笑的事或人
vi. 笑
vt. 以笑表示；使…笑得",/lɑːf/,"laugh at, have a good laugh, laugh out loud, make someone laugh",The children laugh happily in the playground. 孩子们在操场上开心地笑。
laughter,n. 笑；笑声,/ˈlɑːftə(r)/,"burst into laughter, roar with laughter, sound of laughter, laughter and joy",His joke caused a lot of laughter in the room. 他的笑话在房间里引起了很多笑声。
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇",/lɔːntʃ/,"launch a campaign, launch into, launch pad, product launch",The company will launch a new product next month. 这家公司将在下个月推出一款新产品。
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服,/ˈlɔːndri/,"do the laundry, laundry room, laundry basket, laundry detergent",She does the laundry every Sunday. 她每个星期天洗衣服。
lavatory,n. 厕所，盥洗室,/ˈlævətri/,"public lavatory, lavatory facilities, go to the lavatory, lavatory paper",The lavatory is at the end of the corridor. 厕所在走廊的尽头。
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉",/lɔː/,"break the law, obey the law, law and order, study law",Everyone must obey the law to maintain social order. 每个人都必须遵守法律以维护社会秩序。
lawn,n. 草地；草坪,/lɔːn/,"on the lawn, mow the lawn, lawn tennis, a patch of lawn",Children are playing on the lawn in the park. 孩子们正在公园的草坪上玩耍。
lawyer,n. 律师；法学家,/ˈlɔːjə(r)/,"hire a lawyer, consult a lawyer, defense lawyer, become a lawyer",He decided to hire a lawyer to handle the legal case. 他决定聘请一位律师来处理这个法律案件。
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）",/leɪ/,"lay down, lay the table, lay eggs, lay emphasis on",Please lay the books on the table. 请把书放在桌子上。
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根",/ˈleɪə(r)/,"a layer of, in layers, ozone layer, layer cake",There is a thick layer of snow on the ground. 地面上有一层厚厚的雪。
lazy,adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的,/ˈleɪzi/,"lazy bones, lazy afternoon, lazy eye, feel lazy",He is too lazy to do his homework. 他太懒了，不想做作业。
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的",/liːd/,"lead to, take the lead, lead a team, lead by example",Hard work can lead to success. 努力工作可以通向成功。
leader,n. 领导者；首领；指挥者,/ˈliːdə(r)/,"team leader, natural leader, follow the leader, leader of the group",She is the leader of the school's debate team. 她是学校辩论队的领导者。
leadership,n. 领导能力；领导阶层,/ˈliːdəʃɪp/,"under the leadership of, show leadership, leadership skills, assume leadership","Under his leadership, the company achieved great success. 在他的领导下，公司取得了巨大成功。"
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅",/liːf/,"turn over a new leaf, leaf through, fall leaves, leaf litter",The leaves turn yellow in autumn. 树叶在秋天变黄。
leaflet,n. 小叶；传单,/ˈliːflət/,"hand out leaflets, advertising leaflet, leaflet drop, design a leaflet",They handed out leaflets to promote the event. 他们分发传单来推广这个活动。
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟",/liːɡ/,"in league with, league match, form a league, major league",Several countries formed a league to combat climate change. 几个国家组成了一个联盟来应对气候变化。
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去",/liːk/,"leak out, oil leak, fix a leak, information leak",The news about the merger leaked out before the official announcement. 关于合并的消息在官方宣布之前就泄露了。
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度",/liːn/,"lean against, lean on, lean meat, lean towards",He likes to lean against the wall while waiting. 他喜欢在等待时倚靠着墙。
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过",/liːp/,"leap forward, leap year, by leaps and bounds, leap at the chance",The cat made a sudden leap to catch the mouse. 猫突然一跃去抓老鼠。
learn,"vt. 学习；得知；认识到
vi. 学习；获悉",/lɜːn/,"learn from, learn by heart, learn a lesson, learn to do something",We should learn from our mistakes to improve ourselves. 我们应该从错误中学习以提升自己。
learned,adj. 博学的；有学问的；学术上的,/ˈlɜːnɪd/,"learned person, learned journal, learned society, highly learned",He is a learned professor who has published many papers. 他是一位博学的教授，发表了许多论文。
learner,n. 初学者，学习者,/ˈlɜːnə(r)/,"fast learner, adult learner, language learner, beginner learner","As a new learner of English, she practices every day. 作为英语的新学习者，她每天都练习。"
learning,"n. 学习；学问
v. 学习（learn的现在分词）",/ˈlɜːnɪŋ/,"distance learning, lifelong learning, learning process, learning difficulties",Lifelong learning is important for personal growth. 终身学习对个人成长很重要。
least,"adj. 最小的；最少的（little的最高级）
adv. 最小；最少
n. 最小；最少",/liːst/,"at least, least of all, not in the least, to say the least",You should study at least two hours a day. 你每天至少应该学习两个小时。
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的",/ˈleðər/,"leather jacket, leather goods, genuine leather, soft leather",He bought a leather jacket for the winter. 他买了一件皮夹克过冬。
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假",/liːv/,"leave for, leave behind, leave out, on leave",She will leave for Beijing tomorrow. 她明天将出发去北京。
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演",/ˈlektʃər/,"give a lecture, attend a lecture, lecture on, lecture hall",The professor gave a lecture on environmental protection. 教授做了一场关于环境保护的演讲。
lecturer,n. 讲师，演讲者,/ˈlektʃərər/,"university lecturer, guest lecturer, senior lecturer, part-time lecturer",He works as a lecturer at a local college. 他在当地一所学院担任讲师。
left,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）",/left/,"on the left, left behind, left over, turn left",The bookstore is on the left side of the street. 书店在街道的左边。
leg,n. 腿；支柱,/leɡ/,"break a leg, leg of a table, pull someone's leg, stand on one leg",He injured his leg while playing football. 他在踢足球时伤了腿。
legal,adj. 法律的；合法的；法定的；依照法律的,/ˈliːɡl/,"legal system, legal advice, legal rights, legal age",It is important to seek legal advice before signing a contract. 在签署合同前寻求法律建议很重要。
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的",/ˈleʒər/,"at leisure, leisure time, leisure activities, leisure center",I enjoy reading books in my leisure time. 我喜欢在闲暇时间读书。
lemon,"adj. 柠檬色的
n. 柠檬",/ˈlemən/,"lemon juice, lemon tree, lemon tea, lemon yellow",She added some lemon juice to the salad. 她在沙拉里加了一些柠檬汁。
lend,"vt. 贷；增添，提供；把……借给
vi. 贷款",/lend/,"lend a hand, lend money, lend support, lend an ear",Can you lend me your pen for a moment? 你能把笔借我用一下吗？
length,n. 长度，长；时间的长短；（语）音长,/leŋθ/,"in length, at length, length of time, full length",The river is about 100 kilometers in length. 这条河大约有100公里长。
less,"adv. 较少地；较小地；更小地
adj. 较少的；较小的
prep. 减去
n. 较少；较小",/les/,"less than, more or less, less and less, no less than",He spends less time on video games now. 他现在花在电子游戏上的时间更少了。
lesson,"n. 教训；课
vt. 教训；上课",/ˈlesn/,"learn a lesson, give a lesson, lesson plan, life lesson",We learned an important lesson from that mistake. 我们从那个错误中学到了重要的一课。
let,"vt. 允许，让；出租；假设；妨碍
vi. 出租；被承包
n. 障碍；出租屋",/let/,"let go, let in, let out, let alone",Please let me know if you need any help. 如果你需要帮助，请告诉我。
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母",/ˈletər/,"write a letter, cover letter, letter of recommendation, capital letter",She received a letter from her friend abroad. 她收到了国外朋友的一封信。
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平",/ˈlevl/,"on the same level, level of difficulty, sea level, level up",The water level in the lake has risen. 湖中的水位已经上升了。
liberate,vt. 解放；放出；释放,/ˈlɪbəreɪt/,"liberate from, liberate the mind, liberate energy, liberate prisoners",The army helped liberate the city from enemy control. 军队帮助将这座城市从敌人控制中解放出来。
liberty,n. 自由；许可；冒失,/ˈlɪbərti/,"at liberty, liberty of speech, take the liberty, personal liberty",People in this country enjoy the liberty of expression. 这个国家的人们享有表达自由。
librarian,n. 图书馆员；图书管理员,/laɪˈbreəriən/,"school librarian, chief librarian, assistant librarian, public librarian",The librarian helped me find the book I needed. 图书管理员帮我找到了我需要的书。
library,n. 图书馆，藏书室；文库,/ˈlaɪbrəri/,"public library, library card, library book, digital library",I often borrow books from the school library. 我经常从学校图书馆借书。
licence,"n. 许可证，执照；特许
vt. 特许，许可；发给执照",/ˈlaɪsəns/,"driving licence, licence plate, business licence, apply for a licence",You need a driving licence to operate a vehicle legally. 你需要驾驶执照才能合法驾驶车辆。
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给",/ˈlaɪsəns/,"license agreement, license to do something, software license, license fee",The company obtained a license to sell the new product. 公司获得了销售新产品的许可证。
lid,"n. 盖子；眼睑；限制
vt. 给…盖盖子",/lɪd/,"put the lid on, keep a lid on, lid of a box, lift the lid",Please put the lid on the pot to keep the food warm. 请盖上锅盖以保持食物温热。
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置",/laɪ/,"lie down, lie in bed, tell a lie, lie about something",He decided to lie down for a short rest after lunch. 午饭后他决定躺下休息一会儿。
life,n. 生活，生存；寿命,/laɪf/,"life expectancy, quality of life, save a life, daily life",Regular exercise can improve your quality of life. 定期锻炼可以提高你的生活质量。
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车",/lɪft/,"lift weights, lift up, give someone a lift, lift the ban",She can lift heavy boxes easily because she exercises regularly. 她能轻松举起重箱子，因为她经常锻炼。
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地",/laɪt/,"turn on the light, light a fire, in the light of, light blue",Please turn on the light so we can see better in the dark room. 请打开灯，这样我们在黑暗的房间里能看得更清楚。
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地",/laɪt/,"turn on the light, light a fire, in the light of, light blue",Please turn on the light so we can see better in the dark room. 请打开灯，这样我们在黑暗的房间里能看得更清楚。
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电",/ˈlaɪtnɪŋ/,"lightning strike, lightning speed, lightning rod, as quick as lightning",The lightning strike caused a power outage in the neighborhood. 闪电击中了附近地区，导致停电。
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像",/laɪk/,"like to do something, look like, feel like, something like",I like to read books in my free time to relax. 我喜欢在空闲时间读书来放松。
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像",/laɪk/,"like to do something, look like, feel like, something like",I like to read books in my free time to relax. 我喜欢在空闲时间读书来放松。
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许",/ˈlaɪkli/,"be likely to, most likely, it is likely that, likely candidate","It is likely that it will rain tomorrow, so bring an umbrella. 明天很可能下雨，所以带上雨伞。"
limit,"n. 限制；限度；界线
vt. 限制；限定",/ˈlɪmɪt/,"speed limit, time limit, set a limit, within limits",The speed limit on this road is 60 kilometers per hour. 这条路的限速是每小时60公里。
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排",/laɪn/,"wait in line, line up, on the line, draw a line",We had to wait in line for over an hour to buy tickets. 我们不得不排队等候一个多小时来买票。
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来",/lɪŋk/,"link to, link between, click the link, missing link",There is a strong link between regular exercise and good health. 定期锻炼和良好健康之间有很强的联系。
lion,n. 狮子；名人；勇猛的人；社交场合的名流,/ˈlaɪən/,"lion's share, lion in the way, brave as a lion, social lion",The lion is often called the king of the jungle due to its strength. 狮子因其力量常被称为丛林之王。
lip,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇",/lɪp/,"lip service, bite one's lip, on everyone's lips, lip balm",She applied some lip balm to prevent her lips from getting chapped. 她涂了一些润唇膏以防止嘴唇干裂。
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音",/ˈlɪkwɪd/,"liquid assets, liquid diet, liquid state, liquid soap",Water is a common liquid that we drink every day. 水是我们每天饮用的常见液体。
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内",/lɪst/,"shopping list, make a list, to-do list, on the list",I made a shopping list to remember what to buy at the supermarket. 我列了一个购物清单，以便记住在超市要买什么。
listen,"vi. 听，倾听；听从，听信
n. 听，倾听",/ˈlɪsən/,"listen to, listen carefully, listen in, listen for",Please listen to the teacher carefully during the lesson. 请在课堂上仔细听老师讲课。
literature,n. 文学；文献；文艺；著作,/ˈlɪtərətʃər/,"English literature, classical literature, literature review, world literature","She enjoys reading English literature, especially the works of Shakespeare. 她喜欢阅读英国文学，尤其是莎士比亚的作品。"
litre,n.  公升（米制容量单位）,/ˈliːtər/,"a litre of water, per litre, litre capacity, litre measurement",The car consumes about 8 litres of petrol per 100 kilometers. 这辆车每100公里大约消耗8公升汽油。
liter,n.  公升（容量单位）,/ˈliːtər/,"a liter of milk, liter bottle, liter measurement, liter capacity",He bought a liter of milk from the supermarket. 他从超市买了一公升牛奶。
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物",/ˈlɪtər/,"litter the ground, litter bin, litter problem, litter collection",Please don't litter the ground with plastic bags. 请不要乱丢塑料袋在地上。
litterbin,n. （英）废物箱,/ˈlɪtərbɪn/,"use the litterbin, public litterbin, litterbin disposal, litterbin sign",You should throw the rubbish into the litterbin to keep the park clean. 你应该把垃圾扔进废物箱以保持公园清洁。
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间",/ˈlɪtl/,"a little bit, little by little, little time, little money",He has little time to finish his homework before the deadline. 他在截止日期前几乎没有时间完成作业。
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存",/lɪv/,"live in, live on, live up to, live broadcast",They live in a small town near the mountains. 他们住在山附近的一个小镇上。
lively,adj. 活泼的；生动的；真实的；生气勃勃的,/ˈlaɪvli/,"lively discussion, lively music, lively atmosphere, lively child",The party had a lively atmosphere with everyone dancing and laughing. 派对气氛活跃，每个人都在跳舞和欢笑。
liver,n. 肝脏；生活者，居民,/ˈlɪvər/,"liver function, liver disease, liver transplant, liver health",Eating too much fatty food can harm your liver. 吃太多油腻食物会损害你的肝脏。
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填",/loʊd/,"load of work, load up, load capacity, load balance",The truck can carry a heavy load of goods to the warehouse. 这辆卡车可以运送大量货物到仓库。
loaf,"n. 条，一条面包；块；游荡
vt. 游荡；游手好闲；虚度光阴
vi. 游荡；游手好闲；虚度光阴",/loʊf/,"a loaf of bread, loaf around, loaf of time, whole loaf",She bought a fresh loaf of bread from the bakery this morning. 她今天早上从面包店买了一条新鲜的面包。
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给",/loʊn/,"bank loan, loan application, loan interest, loan repayment",He took out a loan from the bank to buy a new car. 他从银行贷了一笔款来买一辆新车。
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的",/ˈloʊkl/,"local government, local community, local news, local customs",The local government is planning to build a new park in the area. 当地政府计划在该地区建一个新公园。
locate,"vt. 位于；查找…的地点
vi. 定位；定居",/ˈloʊkeɪt/,"locate in, locate on, locate near, locate the position",The new factory will be located in the industrial zone. 新工厂将位于工业区。
location,n. 位置（形容词locational）；地点；外景拍摄场地,/loʊˈkeɪʃn/,"exact location, location map, filming location, location service",Can you tell me the exact location of the meeting room? 你能告诉我会议室的确切位置吗？
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车",/lɑːk/,"lock the door, lock up, lock and key, lock system",Remember to lock the door when you leave the house. 离开家时记得锁门。
locker,n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜,/ˈlɑːkər/,"locker room, school locker, locker key, locker storage",Students keep their books in their lockers at school. 学生们在学校把书放在储物柜里。
